Plot_ID,Latitude,Longitude,DBH,Tree_Height,Crown_Width_North_South,Crown_Width_East_West,Slope,Elevation,Temperature,Humidity,Soil_TN,Soil_TP,Soil_AP,Soil_AN,Menhinick_Index,Gleason_Index,Disturbance_Level,Fire_Risk_Index,Health_Status
1,24.98160475,-117.040695,29.86203995,20.83568384,6.147962905,4.542719682,29.17156293,212.5184187,30.20937734,93.08624091,0.37990441,0.268850128,0.328881629,0.48728723,0.682937747,2.998680975,0.004401609,0.812947702,Healthy
2,48.02857226,-92.06693368,28.46298591,24.30707912,8.248890964,5.260920934,7.757386295,641.6403319,29.05490515,62.02883855,0.339582975,0.073259917,0.044616122,0.01350063,0.723695957,3.98698709,0.000330159,0.67854203,Very Healthy
3,39.27975767,-68.89379149,91.09418515,9.013101166,7.841448368,8.690926539,39.25775535,2510.612835,8.351396953,77.99282175,0.184392373,0.297665238,0.124953257,0.474087568,2.129934285,3.250667123,0.472263461,0.889074917,Healthy
4,33.94633937,-78.74425795,28.70688899,19.49647479,2.385099142,4.060039475,27.59023076,2323.628233,37.29003417,54.88386384,0.611194003,0.160818884,0.387971277,0.187495325,1.717351783,1.333210332,0.029293705,0.449336059,Unhealthy
5,16.24074562,-73.54071965,30.83522398,18.00888753,2.343245228,8.826847163,7.07417476,1116.863805,24.89652708,70.4027662,0.481857919,0.03091264,0.266699498,0.00999475,2.476038126,1.742320947,0.974532554,0.893889763,Unhealthy
6,16.23978081,-83.88516433,77.14283493,25.31925055,3.41356931,1.793209879,43.30521259,1192.750821,17.73039324,47.24607499,0.867043982,0.474584798,0.464344686,0.34613283,2.790677093,1.877312736,0.222065175,0.865774122,Healthy
7,12.32334449,-81.54064048,47.72528503,27.37043769,4.249672537,7.991185935,23.32644585,1647.307857,31.47885042,44.09272158,0.041788485,0.322537733,0.217231947,0.49036745,1.470917194,2.031457015,0.472664729,0.438409332,Healthy
8,44.64704583,-70.55630439,78.78750291,2.340389601,4.676100233,8.627928697,3.280430334,100.6989136,14.00779104,66.25838289,0.647429248,0.439074871,0.435557121,0.482984733,1.991025066,3.261613568,0.06113763,0.381143315,Healthy
9,34.04460047,-112.5232394,11.20978497,20.87255773,7.117274952,2.636358876,28.2074807,799.6085745,29.2728443,59.85037393,0.76531939,0.339647722,0.227232942,0.084663821,1.751741569,3.015863119,0.522048416,0.932812015,Healthy
10,38.32290311,-95.74025254,51.3192634,3.451402375,1.510123889,4.873118791,11.39395082,703.872245,6.389892265,66.36290953,0.761891703,0.181706928,0.489727898,0.094717664,2.954026639,1.812640153,0.379956125,0.715164735,Healthy
11,10.82337977,-114.5153391,8.193292017,17.36804262,1.312054338,2.489497972,36.16620533,826.4005456,34.37928132,42.9328465,0.887213227,0.258780596,0.480118019,0.284941763,2.577711018,1.270219374,0.044660029,0.928245346,Unhealthy
12,48.79639409,-60.86323944,10.95205433,10.05371641,4.527195066,7.359437161,36.80199331,2437.126943,20.68597965,49.35662655,0.731743405,0.339494646,0.167922669,0.320465889,2.779344271,1.685728818,0.335124267,0.796974779,Healthy
13,43.29770563,-63.91584622,91.11155807,10.58974479,7.274473229,5.818129913,44.05263101,911.054184,27.284252,26.71183685,0.928531961,0.480324901,0.443532217,0.371011867,1.135850219,4.93752525,0.39143602,0.609297439,Healthy
14,18.49356443,-127.2401232,18.22831026,11.8828381,2.740918087,6.71791012,22.5841289,655.4118339,12.74332369,24.18210978,0.339330034,0.130566382,0.42456763,0.094619928,2.431316058,2.874187799,0.989921491,0.115852777,Unhealthy
15,17.27299869,-80.60973792,55.57996482,19.39618857,6.773540331,2.768382703,20.47305959,1562.364036,28.69757994,40.27657037,0.508177323,0.438113644,0.109286797,0.479708508,1.163683062,4.469382019,0.207885872,0.291480673,Very Healthy
16,17.33618039,-65.23261778,44.05408225,11.35339904,3.338453241,2.905712758,33.90640225,2610.370605,32.02840966,25.93974875,0.023938867,0.462418514,0.314023748,0.321175932,1.021856334,4.395009867,0.544779615,0.968842407,Healthy
17,22.16968972,-117.3597258,37.99761599,22.51557342,8.974774979,1.37347593,5.961179535,799.9141411,21.56246154,28.30197669,0.016888011,0.33685568,0.040977746,0.424288225,2.860665399,3.04607823,0.987315549,0.319422099,Unhealthy
18,30.99025727,-90.24383386,90.48416784,13.3267668,9.061209498,3.898607817,24.61119812,327.7551041,26.62044234,85.03427243,0.247725354,0.465976981,0.419171807,0.272332529,0.548261042,3.826750834,0.792019208,0.09325487,Healthy
19,27.27780075,-65.91581917,7.073222694,3.913889609,3.675584839,6.037701952,24.58114201,1133.573734,20.97140733,23.10989576,0.109799125,0.201949901,0.091400212,0.21006704,2.913471759,1.771008042,0.993367501,0.707553356,Unhealthy
